title;attribute;character;event;unit;rarity;availability;trained_image;untrained_image;release_date;
Behind the Trouble;Cute;Shiraishi An;Time to take off!;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/4/43/An_40_art.png/657px-An_40_art.png;2025/01/11;
Let's enjoy the movie!;Mysterious;Hoshino Ichika;Collab Gacha;Leo/need;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/3/32/Ichika_39_art.png/657px-Ichika_39_art.png;2025/01/17;
Let's enjoy the movie!;Pure;Tenma Saki;Collab Gacha;Leo/need;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/a/ad/Saki_42_art.png/657px-Saki_42_art.png;2025/01/17;
Let's enjoy the movie!;Cute;Mochizuki Honami;Collab Gacha;Leo/need;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/b/bc/Honami_41_art.png/657px-Honami_41_art.png;2025/01/17;
Let's enjoy the movie!;Happy;Hinomori Shiho;Collab Gacha;Leo/need;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/d/d3/Shiho_43_art.png/657px-Shiho_43_art.png;2025/01/17;
Let's enjoy the movie!;Cool;Hanasato Minori;Collab Gacha;MORE MORE JUMP!;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/5/5c/Minori_39_art.png/657px-Minori_39_art.png;2025/01/17;
Let's enjoy the movie!;Mysterious;Kiritani Haruka;Collab Gacha;MORE MORE JUMP!;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/9/92/Haruka_41_art.png/657px-Haruka_41_art.png;2025/01/17;
Let's enjoy the movie!;Pure;Momoi Airi;Collab Gacha;MORE MORE JUMP!;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/0/0c/Airi_40_art.png/657px-Airi_40_art.png;2025/01/17;
Let's enjoy the movie!;Cute;Hinomori Shizuku;Collab Gacha;MORE MORE JUMP!;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/3/31/Shizuku_40_art.png/657px-Shizuku_40_art.png;2025/01/17;
Let's enjoy the movie!;Cool;Azusawa Kohane;Collab Gacha;Vivid BAD SQUAD;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/f/f5/Kohane_40_art.png/657px-Kohane_40_art.png;2025/01/17;
Let's enjoy the movie!;Happy;Shiraishi An;Collab Gacha;Vivid BAD SQUAD;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/7/7c/An_41_art.png/657px-An_41_art.png;2025/01/17;
Let's enjoy the movie!;Pure;Shinonome Akito;Collab Gacha;Vivid BAD SQUAD;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/8/8d/Akito_43_art.png/657px-Akito_43_art.png;2025/01/17;
Let's enjoy the movie!;Mysterious;Aoyagi Toya;Collab Gacha;Vivid BAD SQUAD;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/f/fd/Toya_41_art.png/657px-Toya_41_art.png;2025/01/17;
Let's enjoy the movie!;Happy;Tenma Tsukasa;Collab Gacha;Wonderlands×Showtime;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/0/05/Tsukasa_40_art.png/657px-Tsukasa_40_art.png;2025/01/17;
Let's enjoy the movie!;Mysterious;Otori Emu;Collab Gacha;Wonderlands×Showtime;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/8/8f/Emu_40_art.png/657px-Emu_40_art.png;2025-01-17;
Let's enjoy the movie!;Pure;Kusanagi Nene;Collab Gacha;Wonderlands×Showtime;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/5/5b/Nene_39_art.png/657px-Nene_39_art.png;2025/01/17;
Let's enjoy the movie!;Cool;Kamishiro Rui;Collab Gacha;Wonderlands×Showtime;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/4/48/Rui_40_art.png/657px-Rui_40_art.png;2025/01/17;
Let's enjoy the movie!;Happy;Yoisaki Kanade;Collab Gacha;25-ji, Nightcord de.;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/b/bc/Kanade_40_art.png/657px-Kanade_40_art.png;2025/01/17;
Let's enjoy the movie!;Cute;Asahina Mafuyu;Collab Gacha;25-ji, Nightcord de.;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/f/ff/Mafuyu_40_art.png/657px-Mafuyu_40_art.png;2025/01/17;
Let's enjoy the movie!;Cool;Shinonome Ena;Collab Gacha;25-ji, Nightcord de.;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/0/07/Ena_41_art.png/657px-Ena_41_art.png;2025/01/17;
Let's enjoy the movie!;Pure;Akiyama Mizuki;Collab Gacha;25-ji, Nightcord de.;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/a/ae/Mizuki_39_art.png/657px-Mizuki_39_art.png;2025/01/17;
Let's enjoy the movie!;Cute;Hatsune Miku;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/d/de/Miku_51_art.png/657px-Miku_51_art.png;2025/01/17;
Let's enjoy the movie!;Pure;Kagamine Rin;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/c/cc/Rin_42_art.png/657px-Rin_42_art.png;2025/01/17;
Let's enjoy the movie!;Happy;Kagamine Len;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/c/c1/Len_44_art.png/657px-Len_44_art.png;2025/01/17;
Let's enjoy the movie!;Mysterious;Megurine Luka;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/6/6e/Luka_42_art.png/657px-Luka_42_art.png;2025/01/17;
Let's enjoy the movie!;Cool;MEIKO;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/9/91/MEIKO_42_art.png/657px-MEIKO_42_art.png;2025/01/17;
Let's enjoy the movie!;Cute;KAITO;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/4/4e/KAITO_43_art.png/657px-KAITO_43_art.png;2025/01/17;
From the Windows SEKAI;Cool;Hatsune Miku;Collab Gacha;VIRTUAL SINGER;4.0;Collaboration limited;//static.wikitide.net/projectsekaiwiki/thumb/8/83/Miku_52_trained_art.png/657px-Miku_52_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f6/Miku_52_art.png/657px-Miku_52_art.png;2025/01/17;
My Unfamiliar Self in the Mirror;Cool;Yoisaki Kanade;Show your shine;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/17/Kanade_41_trained_art.png/657px-Kanade_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/c8/Kanade_41_art.png/657px-Kanade_41_art.png;2025/01/21;
Overflowing Gratitude!;Cool;Tenma Saki;Show your shine;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/9c/Saki_43_trained_art.png/657px-Saki_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/5b/Saki_43_art.png/657px-Saki_43_art.png;2025/01/21;
Getting All Dressed up Is Hard;Cool;Kagamine Rin;Show your shine;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a4/Rin_43_trained_art.png/657px-Rin_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/3f/Rin_43_art.png/657px-Rin_43_art.png;2025/01/21;
American Style?;Cute;Azusawa Kohane;Show your shine;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/5/51/Kohane_41_trained_art.png/657px-Kohane_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f9/Kohane_41_art.png/657px-Kohane_41_art.png;2025/01/21;
Drawing One's Brilliance;Happy;Hoshino Ichika;Show your shine;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/57/Ichika_40_art.png/657px-Ichika_40_art.png;2025/01/21;
Happy Birthday!! 2025;Cool;Asahina Mafuyu;Birthday Gacha;25-ji, Nightcord de.;5.0;Birthday Limited;;//static.wikitide.net/projectsekaiwiki/thumb/1/11/Mafuyu_41_art.png/657px-Mafuyu_41_art.png;2025/01/27;
Happy Anniversary!! 2025;Cool;Megurine Luka;Birthday Gacha;VIRTUAL SINGER;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/1/12/Luka_43_art.png/657px-Luka_43_art.png;2025/01/30;
Fascinated by the Embroidered Flowers;Happy;Hinomori Shizuku;Put Your Heart Into This One Stitch;MORE MORE JUMP!;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/d/d7/Shizuku_41_trained_art.png/657px-Shizuku_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/58/Shizuku_41_art.png/657px-Shizuku_41_art.png;2025/01/31;
In the Quiet Library;Happy;Asahina Mafuyu;Put Your Heart Into This One Stitch;25-ji, Nightcord de.;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/7/7c/Mafuyu_42_trained_art.png/657px-Mafuyu_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a0/Mafuyu_42_art.png/657px-Mafuyu_42_art.png;2025/01/31;
A Very Special Heart for You;Happy;Kagamine Len;Put Your Heart Into This One Stitch;VIRTUAL SINGER;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/6/60/Len_45_trained_art.png/657px-Len_45_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6d/Len_45_art.png/657px-Len_45_art.png;2025/01/31;
Fun Embroidery Time;Cute;Akiyama Mizuki;Put Your Heart Into This One Stitch;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e9/Mizuki_40_trained_art.png/657px-Mizuki_40_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/15/Mizuki_40_art.png/657px-Mizuki_40_art.png;2025/01/31;
A Surprise at More More House;Happy;Kiritani Haruka;Put Your Heart Into This One Stitch;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/53/Haruka_42_art.png/657px-Haruka_42_art.png;2025/01/31;
Happy Birthday!! 2025;Cute;Yoisaki Kanade;Birthday Gacha;25-ji, Nightcord de.;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/0/01/Kanade_42_art.png/657px-Kanade_42_art.png;2025/02/10;
The Reality I Was Faced With;Mysterious;Kiritani Haruka;Rise and Strive;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/b/b2/Haruka_43_trained_art.png/657px-Haruka_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/3f/Haruka_43_art.png/657px-Haruka_43_art.png;2025/02/10;
A Serious Meeting!;Mysterious;Hanasato Minori;Rise and Strive;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/37/Minori_40_trained_art.png/657px-Minori_40_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/51/Minori_40_art.png/657px-Minori_40_art.png;2025/02/10;
Embracing Your Regrets as Well;Mysterious;Megurine Luka;Rise and Strive;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/96/Luka_44_trained_art.png/657px-Luka_44_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a8/Luka_44_art.png/657px-Luka_44_art.png;2025/02/10;
Skin Care Test;Cool;Hinomori Shizuku;Rise and Strive;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a2/Shizuku_42_trained_art.png/657px-Shizuku_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/c7/Shizuku_42_art.png/657px-Shizuku_42_art.png;2025/02/10;
Preparing for Cooking Stream;Mysterious;Momoi Airi;Rise and Strive;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/b4/Airi_41_art.png/657px-Airi_41_art.png;2025/02/10;
Shared Fighting Spirit;Pure;Shinonome Akito;Collab Gacha;Vivid BAD SQUAD;4.0;Collaboration limited;//static.wikitide.net/projectsekaiwiki/thumb/3/36/Akito_44_trained_art.png/657px-Akito_44_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/fd/Akito_44_art.png/657px-Akito_44_art.png;2025/02/15;
To Wield Each Other's Weapons;Cute;Aoyagi Toya;Collab Gacha;Vivid BAD SQUAD;4.0;Collaboration limited;//static.wikitide.net/projectsekaiwiki/thumb/2/25/Toya_42_trained_art.png/657px-Toya_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9d/Toya_42_art.png/657px-Toya_42_art.png;2025/02/15;
On a Stage That Shines Bright Like a Star;Cool;Tenma Tsukasa;Collab Gacha;Wonderlands×Showtime;4.0;Collaboration limited;//static.wikitide.net/projectsekaiwiki/thumb/2/20/Tsukasa_41_trained_art.png/657px-Tsukasa_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f1/Tsukasa_41_art.png/657px-Tsukasa_41_art.png;2025/02/15;
A Show Where Magic and Invention Intertwine;Mysterious;Kamishiro Rui;Collab Gacha;Wonderlands×Showtime;4.0;Collaboration limited;//static.wikitide.net/projectsekaiwiki/thumb/d/dd/Rui_41_trained_art.png/657px-Rui_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/8a/Rui_41_art.png/657px-Rui_41_art.png;2025/02/15;
Enthusiastic Idol Style;Cute;Kagamine Len;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/1/1c/Len_46_art.png/657px-Len_46_art.png;2025/02/15;
Smart Idol Style;Cool;KAITO;Collab Gacha;VIRTUAL SINGER;2.0;Collaboration limited;;//static.wikitide.net/projectsekaiwiki/thumb/9/90/KAITO_44_art.png/657px-KAITO_44_art.png;2025/2/15;
Happy Anniversary!! 2025;Happy;KAITO;Birthday Gacha;VIRTUAL SINGER;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/2/24/KAITO_45_art.png/657px-KAITO_45_art.png;2025/02/17;
Flipping Through a Picture Book Full of Memories;Cute;Mochizuki Honami;Old Days Read-aloud;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/d9/Honami_42_trained_art.png/657px-Honami_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/b9/Honami_42_art.png/657px-Honami_42_art.png;2025/02/20;
A Tail Reflected on the Screen;Cute;Kusanagi Nene;Old Days Read-aloud;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/3c/Nene_40_trained_art.png/657px-Nene_40_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/8b/Nene_40_art.png/657px-Nene_40_art.png;2025/02/20;
A Secret Wink!;Cute;MEIKO;Old Days Read-aloud;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/23/MEIKO_43_trained_art.png/657px-MEIKO_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/b6/MEIKO_43_art.png/657px-MEIKO_43_art.png;2025/02/20;
Giving Straightforward Compliments;Happy;Hoshino Ichika;Old Days Read-aloud;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/3c/Ichika_41_trained_art.png/657px-Ichika_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/2d/Ichika_41_art.png/657px-Ichika_41_art.png;2025/02/20;
A Director's Attention to Detail;Happy;Kamishiro Rui;Old Days Read-aloud;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/5e/Rui_42_art.png/657px-Rui_42_art.png;2025/02/20;
Hard Times! Project Plan Meeting;Pure;Tenma Saki;Connect hearts message;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/9/93/Saki_44_trained_art.png/657px-Saki_44_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/05/Saki_44_art.png/657px-Saki_44_art.png;2025/02/28;
Together, With Gratitude;Pure;Otori Emu;Connect hearts message;Wonderlands×Showtime;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/0/0f/Emu_41_trained_art.png/657px-Emu_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/48/Emu_41_art.png/657px-Emu_41_art.png;2025/02/28;
No Head Pats!;Pure;Kagamine Rin;Connect hearts message;VIRTUAL SINGER;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/a/a8/Rin_44_trained_art.png/657px-Rin_44_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/df/Rin_44_art.png/657px-Rin_44_art.png;2025/02/28;
More Friendly Hugs~?;Cool;Hinomori Shiho;Connect hearts message;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/cd/Shiho_44_trained_art.png/657px-Shiho_44_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/67/Shiho_44_art.png/657px-Shiho_44_art.png;2025/02/28;
A Very Special Idea;Cute;MEIKO;Connect hearts message;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/f7/MEIKO_44_art.png/657px-MEIKO_44_art.png;2025/02/28;
Happy Birthday!! 2025;Pure;Azusawa Kohane;Birthday Gacha;Vivid BAD SQUAD;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/d/de/Kohane_42_art.png/657px-Kohane_42_art.png;2025/03/02;
From a Hero to Another Hero;Mysterious;Tenma Tsukasa;You are my HERO!!;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/67/Tsukasa_42_trained_art.png/657px-Tsukasa_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/43/Tsukasa_42_art.png/657px-Tsukasa_42_art.png;2025/03/10;
The Mischievous Sisters Have Arrived!;Mysterious;Momoi Airi;You are my HERO!!;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/0/0e/Airi_42_trained_art.png/657px-Airi_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/5c/Airi_42_art.png/657px-Airi_42_art.png;2025/03/10;
Donut and Peace!;Mysterious;Akiyama Mizuki;You are my HERO!!;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/5/57/Mizuki_41_trained_art.png/657px-Mizuki_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/ae/Mizuki_41_art.png/657px-Mizuki_41_art.png;2025/03/10;
Wearing a Cute Headband;Cool;Kusanagi Nene;You are my HERO!!;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/23/Nene_41_trained_art.png/657px-Nene_41_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/64/Nene_41_art.png/657px-Nene_41_art.png;2025/03/10;
Can We Be Friends?;Mysterious;Hanasato Minori;You are my HERO!!;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/24/Minori_41_art.png/657px-Minori_41_art.png;2025/03/10;
Happy Birthday!! 2025;Cute;Momoi Airi;Birthday Gacha;MORE MORE JUMP!;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/9/93/Airi_43_art.png/657px-Airi_43_art.png;2025/03/19;
Unseen Sound;Cool;Yoisaki Kanade;Unreliable Notes;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/ac/Kanade_43_trained_art.png/657px-Kanade_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/54/Kanade_43_art.png/657px-Kanade_43_art.png;2025/03/20;
A Kitchen Filled With Silence;Cool;Asahina Mafuyu;Unreliable Notes;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/b/ba/Mafuyu_43_trained_art.png/657px-Mafuyu_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/86/Mafuyu_43_art.png/657px-Mafuyu_43_art.png;2025/03/20;
A Bag Packed With Sincere Thoughts and Feelings;Cool;Shinonome Ena;Unreliable Notes;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/5/58/Ena_42_trained_art.png/657px-Ena_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/95/Ena_42_art.png/657px-Ena_42_art.png;2025/03/20;
Unheard Voice;Happy;Kagamine Rin;Unreliable Notes;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/13/Rin_45_trained_art.png/657px-Rin_45_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/d7/Rin_45_art.png/657px-Rin_45_art.png;2025/03/20;
"An After-Party With ""Everyone""";Cute;Akiyama Mizuki;Unreliable Notes;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/94/Mizuki_42_art.png/657px-Mizuki_42_art.png;2025/03/20;
The Us From ”Those Days”;Mysterious;Mochizuki Honami;Bloom Festival Gacha;Leo/need;4.0;Bloom Festival limited;//static.wikitide.net/projectsekaiwiki/thumb/7/7f/Honami_43_trained_art.png/657px-Honami_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/e/e4/Honami_43_art.png/657px-Honami_43_art.png;2025/03/30;
The SEKAI That Goes Around, The Feelings I've Touched;Happy;Megurine Luka;Bloom Festival Gacha;VIRTUAL SINGER;4.0;Bloom Festival limited;//static.wikitide.net/projectsekaiwiki/thumb/1/18/Luka_45_trained_art.png/657px-Luka_45_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/c3/Luka_45_art.png/657px-Luka_45_art.png;2025/03/30;
Give In to Your Impulse;Cool;Hinomori Shiho;Find the dream view;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/e/eb/Shiho_45_trained_art.png/657px-Shiho_45_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/64/Shiho_45_art.png/657px-Shiho_45_art.png;2025/03/30;
Delivering Sounds With All Our Might;Cool;Hoshino Ichika;Find the dream view;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/8/8d/Ichika_42_trained_art.png/657px-Ichika_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/fe/Ichika_42_art.png/657px-Ichika_42_art.png;2025/03/30;
Wrapped in Feelings That Resonate;Cool;Hatsune Miku;Find the dream view;VIRTUAL SINGER;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/6/6b/Miku_53_trained_art.png/657px-Miku_53_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6d/Miku_53_art.png/657px-Miku_53_art.png;2025/03/30;
A Dreamlike Fun Time;Mysterious;Tenma Saki;Find the dream view;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e8/Saki_45_trained_art.png/657px-Saki_45_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/34/Saki_45_art.png/657px-Saki_45_art.png;2025/03/30;
A Spell to Relieve Tension;Mysterious;Kagamine Rin;Find the dream view;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/f3/Rin_46_art.png/657px-Rin_46_art.png;2025/03/30;
A Smile Bathed in the Sunset Glow;Mysterious;Azusawa Kohane;Turning Pain into Drive;Vivid BAD SQUAD;4.0;Unit-Limited;//static.wikitide.net/projectsekaiwiki/thumb/b/b0/Kohane_43_trained_art.png/657px-Kohane_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/23/Kohane_43_art.png/657px-Kohane_43_art.png;2025/04/08;
Accepting the Pain and Sorrow;Cute;Shiraishi An;Turning Pain into Drive;Vivid BAD SQUAD;4.0;Unit-Limited;//static.wikitide.net/projectsekaiwiki/thumb/5/58/An_42_trained_art.png/657px-An_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/5d/An_42_art.png/657px-An_42_art.png;2025/04/08;
Unexpected Words;Happy;Shinonome Akito;Turning Pain into Drive;Vivid BAD SQUAD;4.0;Unit-Limited;//static.wikitide.net/projectsekaiwiki/thumb/2/28/Akito_45_trained_art.png/657px-Akito_45_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/29/Akito_45_art.png/657px-Akito_45_art.png;2025/04/08;
Retracing the Glimmering Memories;Cool;Aoyagi Toya;Turning Pain into Drive;Vivid BAD SQUAD;4.0;Unit-Limited;//static.wikitide.net/projectsekaiwiki/thumb/b/b0/Toya_43_trained_art.png/657px-Toya_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6a/Toya_43_art.png/657px-Toya_43_art.png;2025/04/08;
Happy Birthday!! 2025;Cute;Hanasato Minori;Birthday Gacha;MORE MORE JUMP!;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/8/84/Minori_42_art.png/657px-Minori_42_art.png;2025/04/13;
Discussing the Future, With Dignity;Mysterious;Otori Emu;Choices for the future;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/60/Emu_42_trained_art.png/657px-Emu_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/ad/Emu_42_art.png/657px-Emu_42_art.png;2025/04/22;
Put Your Thoughts and Feelings in Every Step;Mysterious;Kusanagi Nene;Choices for the future;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/14/Nene_42_trained_art.png/657px-Nene_42_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/14/Nene_42_art.png/657px-Nene_42_art.png;2025/04/22;
A Smile to Lean On;Mysterious;KAITO;Choices for the future;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/81/KAITO_46_trained_art.png/657px-KAITO_46_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/89/KAITO_46_art.png/657px-KAITO_46_art.png;2025/04/22;
Caught Red-Handed Forcing Vegetables Onto Someone Else;Happy;Kamishiro Rui;Choices for the future;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/87/Rui_43_trained_art.png/657px-Rui_43_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/45/Rui_43_art.png/657px-Rui_43_art.png;2025/04/22;
Charming Demeanor;Cool;Tenma Tsukasa;Choices for the future;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/5f/Tsukasa_43_art.png/657px-Tsukasa_43_art.png;2025/04/22;
Happy Birthday!! 2025;Happy;Shinonome Ena;Birthday Gacha;25-ji, Nightcord de.;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/0/07/Ena_43_art.png/657px-Ena_43_art.png;2025/04/30;
A Moment Filled With Warmth;Mysterious;Asahina Mafuyu;And So, the Clock Hands Started Ticking;25-ji, Nightcord de.;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/f/ff/Mafuyu_44_trained_art.png/657px-Mafuyu_44_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/b8/Mafuyu_44_art.png/657px-Mafuyu_44_art.png;2025/04/30;
